,index,Date,State,Population Staying at Home,Population Not Staying at Home,nTrips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Number_of_Trips_1_25,Number_of_Trips_25_250,Number_of_Trips_250_,positive,positiveIncrease,region,Ratio
21,1245470,20200122,MA,1458210.0,5443939.0,31511894.0,8169087.0,8102769.0,3837693.0,4666336.0,4801977.0,1571829.0,292096.0,43282.0,8312.0,18513.0,24775885.0,335378.0,26825.0,0.0,0.0,N,0.7887310169629778
22,1245471,20200122,MI,1896049.0,8099866.0,37840555.0,9307387.0,9062226.0,4522030.0,5975979.0,6118152.0,2081280.0,551455.0,165679.0,39711.0,16656.0,28867622.0,717134.0,56367.0,0.0,0.0,W,0.8103176147456236
23,1245472,20200122,MN,1054482.0,4556697.0,19550660.0,4777492.0,4635822.0,2193921.0,2852770.0,3398447.0,1156028.0,353865.0,140033.0,24429.0,17853.0,14460005.0,493898.0,42282.0,0.0,0.0,M,0.812074788560479
24,1245473,20200122,MS,488475.0,2498055.0,9665492.0,2245533.0,2398337.0,1127626.0,1493858.0,1482840.0,580375.0,221692.0,92826.0,18964.0,3441.0,7265354.0,314518.0,22405.0,0.0,0.0,S,0.8364406183765105
25,1245474,20200122,MO,1243578.0,4882874.0,20675770.0,5002553.0,5175755.0,2427775.0,3140114.0,3270792.0,1150340.0,303067.0,158242.0,34383.0,12749.0,15746197.0,461309.0,47132.0,0.0,0.0,M,0.7970149770209577
26,1245475,20200122,MT,240113.0,822192.0,3715578.0,1031476.0,1090010.0,448344.0,468271.0,378686.0,168471.0,86128.0,35237.0,5558.0,3397.0,3038101.0,121365.0,8955.0,0.0,0.0,W,0.7739698109300059
27,1245476,20200122,NE,410926.0,1518342.0,6511734.0,1697090.0,1765130.0,833670.0,975716.0,793403.0,258275.0,117275.0,55659.0,11170.0,4346.0,5271606.0,172934.0,15516.0,0.0,0.0,W,0.787004190190269
28,1245477,20200122,NV,603936.0,2430456.0,11094147.0,3037085.0,2711971.0,1400977.0,1875715.0,1609603.0,267044.0,110208.0,61319.0,13684.0,6541.0,9025748.0,171527.0,20225.0,0.0,0.0,W,0.800969683547808
29,1245478,20200122,NH,254156.0,1102302.0,5600613.0,1207904.0,1293200.0,643554.0,840276.0,1033950.0,460003.0,106338.0,12763.0,1189.0,1436.0,3984934.0,119101.0,2625.0,0.0,0.0,N,0.8126326063910567
30,1245479,20200122,NJ,1798842.0,7109678.0,36713292.0,9998785.0,9013845.0,4280916.0,5369047.0,5487826.0,1928389.0,487031.0,109368.0,21467.0,16618.0,28662593.0,596399.0,38085.0,0.0,0.0,N,0.7980762236600468
31,1245480,20200122,NM,394587.0,1700841.0,9270176.0,2379287.0,2528558.0,1224578.0,1417520.0,1014590.0,406749.0,207323.0,70676.0,17222.0,3673.0,7549943.0,277999.0,20895.0,0.0,0.0,W,0.8116914539654906
32,1245481,20200122,NY,4751706.0,14790503.0,85787671.0,24292895.0,20819315.0,10490506.0,13439792.0,12283567.0,3324261.0,845146.0,208843.0,37988.0,45358.0,69042508.0,1053989.0,83346.0,0.0,0.0,N,0.7568490849729425
33,1245482,20200122,NC,1853446.0,8530174.0,39155121.0,8522214.0,9552749.0,5034107.0,6513818.0,6494228.0,2145750.0,608353.0,222926.0,44510.0,16466.0,29622888.0,831279.0,60976.0,0.0,0.0,S,0.8215029055377604
34,1245483,20200122,ND,152502.0,607575.0,2635415.0,712525.0,766480.0,348753.0,328757.0,235695.0,122339.0,80214.0,33420.0,5410.0,1822.0,2156515.0,113634.0,7232.0,0.0,0.0,M,0.799359801704301
35,1245484,20200122,OH,2227468.0,9461974.0,44388711.0,10924078.0,10685399.0,5280793.0,7050839.0,7425827.0,2169202.0,605567.0,190609.0,40173.0,16224.0,33941109.0,796176.0,56397.0,0.0,0.0,M,0.8094461651805107
36,1245485,20200122,OK,766892.0,3176187.0,13163127.0,3222829.0,3360076.0,1586343.0,1989887.0,2042763.0,634975.0,220353.0,86362.0,14491.0,5048.0,10159135.0,306715.0,19539.0,0.0,0.0,S,0.805509349419578
37,1245486,20200122,OR,875227.0,3315486.0,16371318.0,4560223.0,4472333.0,2048568.0,2235461.0,2161129.0,614569.0,202330.0,54375.0,10998.0,11332.0,13316585.0,256705.0,22330.0,0.0,0.0,W,0.7911508137159476
